-1.1189879,0.3573051,0.62471175,0.02475975,0.009187409,-0.9996413,-0.004453316,-0.30827028,-0.049729038,-0.019178843,0.62467974,0.4258516,0.087392725,0.36588758,-1.3321538,0.031613585,0.71243423,-0.15761249,0.3,-0.30300537,-0.08989579,0.024397684,0.5952623,0.39724058,0.10359651,0.0803094,-1.3969662,0.36217457,0.4401853,0.007419132,0.3,0.0009895184,-0.027415168,0.009418933
-1.118993,0.35729682,0.6247128,0.02476703,0.009186812,-0.9996411,-0.0044639735,-0.3082623,-0.049740277,-0.019160656,0.6246589,0.42585126,0.08740911,0.36588252,-1.3321112,0.03164276,0.7124639,-0.15768597,0.3,-0.30301255,-0.08988507,0.024375755,0.59525967,0.39723793,0.103581645,0.08032368,-1.3969222,0.3621507,0.44027987,0.007410798,0.3,0.0009960292,-0.027489597,0.009308739
-1.1189978,0.3572886,0.62471396,0.024774183,0.00918625,-0.9996409,-0.0044742124,-0.30825457,-0.049751546,-0.019143289,0.62463796,0.42584988,0.08742534,0.36587712,-1.3320684,0.031676717,0.71248883,-0.15776317,0.3,-0.3030199,-0.08987434,0.024354571,0.5952571,0.3972347,0.103567064,0.08033693,-1.3968769,0.36213303,0.4403702,0.007403748,0.3,0.0010010911,-0.027567977,0.009196065
-1.1190023,0.3572807,0.62471503,0.024780983,0.009185747,-0.9996407,-0.004483661,-0.30824736,-0.049762517,-0.019127399,0.6246175,0.4258474,0.08744092,0.36587155,-1.3320267,0.03171507,0.71250755,-0.15784237,0.3,-0.30302727,-0.089863904,0.024334885,0.5952547,0.3972309,0.10355324,0.0803486,-1.3968314,0.36212298,0.44045302,0.0073983697,0.3,0.0010043248,-0.027648482,0.009083978
-1.1190062,0.35727334,0.6247161,0.024787169,0.009185326,-0.9996405,-0.004491909,-0.30824095,-0.049772818,-0.0191137,0.62459826,0.42584372,0.087455295,0.36586598,-1.3319874,0.031757243,0.71251863,-0.15792151,0.3,-0.30303442,-0.089854114,0.024317523,0.59525263,0.3972265,0.10354073,0.08035813,-1.3967872,0.362122,0.44052473,0.0073950654,0.3,0.0010053382,-0.027728934,0.008976014
-1.1190091,0.3572669,0.62471706,0.024792459,0.009185012,-0.9996403,-0.0044985125,-0.30823565,-0.04978204,-0.019102974,0.624581,0.4258387,0.08746784,0.36586058,-1.3319521,0.03180246,0.71252066,-0.1579982,0.3,-0.3030411,-0.08984538,0.024303384,0.5952509,0.39722157,0.1035301,0.08036491,-1.3967456,0.3621315,0.44058153,0.007394246,0.3,0.0010037324,-0.02780681,0.008876164
-1.1190112,0.35726172,0.62471795,0.024796557,0.009184836,-0.99964017,-0.004503001,-0.30823183,-0.049789745,-0.01909604,0.6245664,0.42583233,0.0874779,0.36585557,-1.3319225,0.031849727,0.71251214,-0.15806976,0.3,-0.303047,-0.08983811,0.02429342,0.5952496,0.39721617,0.10352199,0.08036832,-1.3967084,0.3621529,0.4406194,0.007396321,0.3,0.0009991091,-0.027879238,0.008788846
-1.119012,0.35725808,0.6247186,0.024799138,0.009184826,-0.9996401,-0.004504882,-0.3082298,-0.049795456,-0.01909376,0.6245554,0.42582446,0.08748476,0.36585125,-1.3319005,0.03189783,0.71249175,-0.15813322,0.3,-0.30305183,-0.089832775,0.024288638,0.5952488,0.39721036,0.103517056,0.080367714,-1.3966774,0.36218745,0.44063425,0.007401692,0.3,0.000991078,-0.027943024,0.008718862
-1.1190112,0.35725644,0.62471914,0.024799874,0.009185009,-0.9996401,-0.0045036464,-0.30822995,-0.04979868,-0.019097019,0.6245489,0.42581514,0.08748771,0.36584786,-1.3318878,0.031945337,0.7124582,-0.15818538,0.3,-0.3030553,-0.08982984,0.024290068,0.59524876,0.39720422,0.103516,0.08036246,-1.3966545,0.36223632,0.4406218,0.007410744,0.3,0.0009792653,-0.027994672,0.008671352
-1.1190087,0.35725713,0.62471944,0.024798425,0.009185416,-0.99964017,-0.004498782,-0.30823264,-0.0497989,-0.019106712,0.6245479,0.42580426,0.087485984,0.3658457,-1.3318866,0.03199057,0.7124103,-0.15822275,0.3,-0.30305701,-0.089829795,0.02429876,0.59524935,0.3971979,0.10351952,0.080351956,-1.3966419,0.36230052,0.44057783,0.007423835,0.3,0.0009633219,-0.028030416,0.008651725
-1.1190042,0.35726056,0.6247194,0.02479445,0.009186076,-0.99964035,-0.0044897785,-0.30823824,-0.049795594,-0.019123731,0.62455326,0.4257919,0.08747883,0.3658452,-1.3318989,0.032031644,0.712347,-0.15824173,0.3,-0.30305663,-0.08983316,0.024315756,0.5952508,0.39719146,0.103528336,0.08033561,-1.3966415,0.3623809,0.44049832,0.0074412855,0.3,0.0009429317,-0.028046263,0.00866559
